gamma_eff_over_gf,tau_Q,E_B_max_over_omega0F2,P_B_max_over_omega0F2,t_at_E_B_max,t_at_P_B_max
0.0,0.1,4.019934086027598,1.3536733947511062,21.992677631852743,2.7866756142456985
0.0,0.11325413151528117,4.025560219484562,1.3554340449099767,9.42506261337022,2.7874128388477892
0.0,0.12826498305280606,4.032762852918214,1.3576788330415577,40.84079550560045,2.7882477761682036
0.0,0.14526539259467808,4.04204560965517,1.3605511119146811,21.99248190207434,2.789193377179136
0.0,0.16451905877536624,4.053710129393229,1.3641780705235764,47.133369708285144,2.7902643093916675
0.0,0.18632463119315604,4.0690000275888485,1.3687993634220648,28.276248968275297,2.791477184368087
0.0,0.21102034285685956,4.088396168881585,1.3746593266052776,15.712292767152487,2.7928508153889973
0.0,0.23898925662310497,4.11321233978582,1.3820764996715103,9.428606639198174,2.794406509271954
0.0,0.27066520700332414,4.144923833844176,1.3914433076895312,47.13252050260456,2.7961683968681323
0.0,0.3065395295056528,4.185455057935651,1.4032328418721234,28.283589088817706,2.7981638073634603
0.0,0.34716868189265615,4.237152962890434,1.418072812379645,28.286284883704397,2.820570618033202
0.0,0.3931828755705769,4.30303461988043,1.436703481688119,28.291971456752908,2.823148444009556
0.0,0.44529585099426555,4.386855594370486,1.4598497491362166,28.301042769145244,2.826067938431051
0.0,0.504315948717136,4.4933153811592215,1.4886811967304188,22.028693794758578,2.849584196386201
0.0,0.5711586478126432,4.628207119899006,1.524246364959345,3.1973771137872746,2.8735921908721074
0.0,0.6468607661546326,4.798778714591421,1.5679381876210363,47.20149615621214,2.8981606424810376
0.0,0.732596542821523,5.013998607055362,1.6212516807172526,47.220496091077585,2.943669008687124
0.0,0.8296958520834908,5.28472979585365,1.685965005230301,15.844871864254916,2.989983050122558
0.0,0.9396648314954695,5.6243389358737526,1.7638696527761337,22.17781382459667,3.0372198518978895
0.0,1.0642092440647246,6.049338717990796,1.8571592077830728,3.3920212355000983,3.126381096575392
0.0,1.2052609368708427,6.580079944135355,1.9679870934327186,41.16501389042558,3.2169781148814414
0.0,1.3650078065460138,7.241551449612693,2.0987942178686314,34.983290949876476,3.3297853548061043
0.0,1.5459277364194777,8.064853453019476,2.2522592835886512,35.106510525964765,3.465273385641646
0.0,1.750827031735725,9.088804781567987,2.431222533992685,28.971351787674383,3.6447170390498154
0.0,1.9828839491270713,10.361841427479767,2.6393081904111844,4.014685437447589,3.8274721735251624
0.0,2.245697995539774,11.945557943365108,2.8797106150273333,10.516041651763306,4.055889442230779
0.0,2.5433457613046495,13.916706161133867,3.1567292768147777,17.05188279328454,4.331305129983496
0.0,2.8804441533962977,16.373136680667642,3.4747046668280763,4.78230598306025,4.6341814924344895
0.0,3.26222200971167,19.43871464203329,3.8388161941020837,23.977591490566482,5.008653235807221
0.0,3.6946012051993025,23.270769374727728,4.255433972105224,18.09157898030325,5.41458253329741
0.0,4.184288507901583,28.06943188688499,4.730469774612745,37.402120228143346,5.875928136711217
0.0,4.738879609717656,34.08935113305566,5.271806870984793,19.078657770333766,6.417964758562335
0.0,5.366976945540476,41.65509042305258,5.8872822552136075,25.966425893226667,7.023342886649193
0.0,6.07832312829723,51.179976771097145,6.587295433130387,7.8092271307112595,7.741906215791335
0.0,6.8839520696455,63.19008556179413,7.382645363033175,52.581804509756346,8.536008063272133
0.0,7.796360130405237,78.36656733927322,8.285882825537556,53.47146250840212,9.43614126618861
0.0,8.829699955494092,97.56266489641563,9.311196948197598,23.070471178625137,10.452336468683225
0.0,10.0,121.8799822544932,10.473052476756914,24.22569087234894,11.62064906562625
0.0,11.325413151528126,152.72476394383736,11.791582142391858,56.95729655970259,12.93257090950593
0.0,12.826498305280612,191.89587020279077,13.285389609558745,33.31136911904634,14.430737075722716
0.0,14.526539259467812,241.6897903587914,14.978766967736362,60.13697883365367,16.112269857106007
0.0,16.451905877536625,305.0565294409676,16.89725518624465,30.63329208400248,18.02896919006396
0.0,18.6324631193156,385.7568500858097,19.07297101733079,45.37048016010779,20.213483240822843
0.0,21.102034285685967,488.61593320976914,21.536695136075537,54.116074353091115,22.676399770985082
0.0,23.898925662310504,619.8052397307907,24.32682257615129,25.490546441741362,25.460975043317067
0.0,27.06652070033241,787.2471564028564,27.48653901378835,28.649379472032336,28.618540528574822
0.0,30.653952950565298,1001.0615590333217,31.07094862257272,63.64529641677262,32.20994259530379
0.0,34.71686818926563,1274.2459889690601,35.126591241411944,67.69891407601578,36.273329488401046
0.0,39.3182875570577,1623.4244497591826,39.718690696842714,59.72423342770845,40.852662678558204
0.0,44.529585099426555,2069.8655342427064,44.925543967649986,46.073243670308734,46.073243670308734
0.0,50.431594871713585,2641.012456122151,50.821495937398886,83.39158054534042,51.9640069528314
0.0,57.11586478126435,3371.839734276617,57.4979030974721,77.49719256323567,58.63725656333319
0.0,64.68607661546328,4307.181887786731,65.02644137543297,110.18858345407256,66.17740037474911
0.0,73.2596542821523,5504.578941847288,73.61566025934611,74.77456457572744,74.77456457572744
0.0,82.96958520834914,7037.977369160682,83.28733857795396,122.16813439030398,84.4428702031413
0.0,93.966483149547,9001.797730172206,94.29786030597555,101.73861943781513,95.45916903593412
0.0,106.42092440647247,11517.385566553085,106.70315779795445,145.5922650429992,107.91103419438117
0.0,120.52609368708426,14740.248033542188,120.74316551635528,153.39842291299135,122.009066115849
0.0,136.50078065460139,18869.314306018554,136.7292832042174,156.7979754114916,137.9165439378565
0.0,154.59277364194784,24160.154115205154,154.71819246568108,174.87401555110065,156.0439484411975
0.0,175.08270317357253,30944.371300766943,175.1115997632598,214.1843410435196,176.44538457664208
0.0,198.28839491270713,39636.28300782621,198.20504005831063,237.3593339561654,199.7037512058989
0.0,224.56979955397762,50780.50286837381,224.6668886063136,251.05721976584192,225.8965619551733
0.0,254.33457613046508,65065.93522047138,254.35693798195814,274.5023297060734,255.62886768247864
0.0,288.0444153396298,83379.7161014651,288.01153084218964,333.31061008756194,289.35384703264634
0.0,326.222200971167,106857.33766523984,326.185501782886,352.6083544613488,327.48924283536695
0.0,369.46012051993023,136946.1020662821,369.3298907057969,414.63512289604506,370.68568801761273
0.0,418.42885079015844,175565.8801579573,418.429509127924,419.5829317197668,419.5829317197668
